epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3783.96,1.48365,4.05708,1.17535,0.57066,0.02911,0.03631,0.02576,1.14617,1.78607,0.98743,1.63098e-05,1.63098e-05,1.63098e-05
2,7570.5,1.10345,1.61836,0.99334,0.68924,0.07297,0.07533,0.0551,0.9325,1.16344,0.93121,2.94115e-05,2.94115e-05,2.94115e-05
3,11318.4,0.96833,1.21815,0.95373,0.7097,0.09547,0.09769,0.07182,0.85603,0.97804,0.90232,3.92791e-05,3.92791e-05,3.92791e-05
4,15048.7,0.89846,1.05983,0.93833,0.7474,0.10436,0.1223,0.09084,0.80122,0.8774,0.88762,3.4447e-05,3.4447e-05,3.4447e-05
5,18768.2,0.85533,0.96497,0.92638,0.7274,0.13306,0.15009,0.11224,0.7804,0.82785,0.88158,2.9596e-05,2.9596e-05,2.9596e-05
6,22478.5,0.82968,0.90845,0.91808,0.65514,0.16502,0.17536,0.13166,0.75877,0.79354,0.87574,2.4745e-05,2.4745e-05,2.4745e-05
7,26188.5,0.8071,0.87078,0.91317,0.60836,0.1856,0.19708,0.14747,0.73586,0.76192,0.87187,1.9894e-05,1.9894e-05,1.9894e-05
8,29882,0.79032,0.83564,0.90711,0.64399,0.19137,0.21229,0.15932,0.72002,0.74232,0.86947,1.5043e-05,1.5043e-05,1.5043e-05
9,33595.5,0.77897,0.81406,0.90647,0.72789,0.1922,0.22354,0.16744,0.71077,0.72622,0.86691,1.0192e-05,1.0192e-05,1.0192e-05
10,37309.5,0.76888,0.80093,0.90269,0.71402,0.19623,0.23111,0.17315,0.70948,0.72012,0.86674,5.341e-06,5.341e-06,5.341e-06
