epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3823.15,0,60.2017,0,0,0,0,0,0,82.3237,0,1.63098e-05,1.63098e-05,1.63098e-05
2,7376.75,0,54.7903,0,0,0,0,0,0,76.5731,0,2.94115e-05,2.94115e-05,2.94115e-05
3,10933.3,0,50.6111,0,0,0,0,0,0,70.3655,0,3.92791e-05,3.92791e-05,3.92791e-05
4,14461.1,0,46.6133,0,0,0,0,0,0,64.9515,0,3.4447e-05,3.4447e-05,3.4447e-05
5,18111.1,0,43.2474,0,0,0,0,0,0,60.5595,0,2.9596e-05,2.9596e-05,2.9596e-05
6,21729.6,0,40.5693,0,0,0,0,0,0,56.9976,0,2.4745e-05,2.4745e-05,2.4745e-05
7,25367.1,0,38.4397,0,0,0,0,0,0,54.413,0,1.9894e-05,1.9894e-05,1.9894e-05
8,29020.5,0,36.8254,0,0,0,0,0,0,52.5645,0,1.5043e-05,1.5043e-05,1.5043e-05
9,32698.3,0,35.7102,0,0,0,0,0,0,51.2192,0,1.0192e-05,1.0192e-05,1.0192e-05
10,36688.1,0,35.0177,0,0,0,0,0,0,50.5023,0,5.341e-06,5.341e-06,5.341e-06
